cores,load,cycles,instructions,exec time,speedup,instr per cycle,norm speedup
1,0.998,345509029338,753124560680,124.633187471,1,2.179754,1
2,1.996,378028766914,760439124310,68.187828966,1.827792,2.011591,1.980590
3,2.994,390520806109,762233940439,47.046404363,2.649154,1.951840,2.958493
4,3.992,403593741514,766627979179,36.499027096,3.414699,1.899504,3.918498
5,4.990,428241970679,773195808824,31.873358488,3.910262,1.805512,4.720772
6,5.988,442763622813,776064073165,27.978944359,4.454535,1.752773,5.539673
7,6.985,474384141519,784070840075,25.722751850,4.845251,1.652818,6.389966
8,7.983,532736721878,792467640049,25.382836465,4.910136,1.487541,7.195021
9,8.981,530936708536,795599971682,23.048442882,5.407445,1.498484,7.865884
10,9.978,556833694360,798072750242,22.151451924,5.626412,1.433234,8.557008
11,10.974,615538714965,811336048803,22.342472826,5.578308,1.318091,9.224960
12,11.973,653303952364,812298372693,21.753177626,5.729424,1.243370,10.044264
13,12.936,724143897023,824416054717,22.311566956,5.586035,1.138470,10.695214
14,13.954,786656451179,831185843682,22.501730440,5.538827,1.056606,11.426472
15,14.950,850864729226,838560804577,22.726504842,5.484046,0.985540,12.129263
16,15.957,918795306815,845690939887,23.004331151,5.417814,0.920435,12.830353
17,16.928,1000869914988,857640484603,23.627307851,5.274964,0.856895,13.418354
18,17.911,1063959717185,863252315951,23.747856989,5.248187,0.811358,14.099513
19,18.934,1141165450582,870986878181,24.106341606,5.170141,0.763243,14.765454
20,19.633,1223388161488,898062141755,24.917890241,5.001755,0.734078,14.852095
21,20.842,1269965326473,884850905718,24.383686874,5.111335,0.696752,15.990554
22,21.214,1408412146638,938405691170,26.561290080,4.692287,0.666286,15.350802
23,22.421,1474031957966,930926436880,26.312294349,4.736690,0.631551,16.348350
24,22.427,1588313606031,985853852909,28.340194392,4.397753,0.620692,15.444079
