cores,load,cycles,instructions,exec time,speedup,instr per cycle,norm speedup
1,0.998,364091733642,565408666272,131.333480060,1,1.552929,1
2,1.003,342895219406,572141122422,123.146074020,1.066485,1.668560,0.992578
3,2.006,364800139773,577528890501,65.500348763,2.005081,1.583138,1.966821
4,3.047,411676928773,584162852587,48.754930515,2.693748,1.418984,2.948025
5,4.049,420710771170,584658512680,37.661085719,3.487246,1.389692,3.896867
6,5.021,426401384310,586500017978,31.567031825,4.160463,1.375465,4.697253
7,6.040,406091266636,582190937353,25.440215002,5.162436,1.433646,5.591966
8,7.054,439428459987,581769779784,23.651558688,5.552847,1.323924,6.513349
9,8.060,415971489036,579436437377,19.686220077,6.671341,1.392972,7.437424
10,9.057,425167724184,580955274570,18.326653718,7.166255,1.366414,8.144445
11,10.056,438140938165,579943935004,17.302980434,7.590223,1.323647,8.905002
12,11.041,474800809194,579851390519,17.092240247,7.683807,1.221252,9.770636
13,12.038,484210150594,580907115564,16.034925629,8.190464,1.199700,10.601989
14,13.054,564960547954,579448768593,17.263671166,7.607506,1.025645,11.518529
15,14.070,619364559095,590413518178,17.569986592,7.474877,0.953257,12.177152
16,14.980,683803467502,581965146200,18.240835393,7.199971,0.851071,13.137620
17,15.943,757485819063,581890832193,19.002985352,6.911203,0.768187,13.971346
18,16.937,831212027756,582029833107,19.648311056,6.684212,0.700218,14.824104
19,17.977,921201262204,582083944240,20.530634124,6.396952,0.631875,15.721488
20,18.897,995358190260,584553887611,21.120693271,6.218237,0.587280,16.442724
21,19.823,1167338903215,606765529849,23.634151712,5.556936,0.519785,16.602104
22,20.784,1241505214439,596720702616,24.002472970,5.471665,0.480643,17.678628
23,21.718,1455611315818,587316010955,26.976201570,4.868494,0.403484,18.737855
24,22.710,1501175143922,588807444939,26.594609624,4.938350,0.392231,19.552016
