# coins
workers,mem read bw,mem write bw,mem read time,mem write time,mem spare,exec time,util,speedup
1,17.226000,2.169000,44.392000,1.105000,54.503000,697.970416,0.979368,1.000000
2,82.366000,17.434000,75.629000,5.614000,18.756000,809.040827,1.001014,0.862713
3,98.979000,15.519000,89.080000,5.646000,5.275000,454.288077,2.331543,1.536405
4,105.257000,24.606000,93.212000,9.123000,0.000000,291.834164,2.953904,2.391668
5,129.781000,22.893000,97.378000,8.447000,0.000000,229.820029,3.903568,3.037030
6,128.373000,26.335000,98.690000,10.285000,0.000000,194.273705,4.921999,3.592717
7,132.922000,-1.000000,99.081000,10.445000,0.000000,180.445828,5.864730,3.868033
8,133.008000,25.739000,99.217000,10.411000,0.000000,176.805056,6.820325,3.947684
9,132.421000,25.202000,99.183000,10.265000,0.000000,176.038470,7.786105,3.964874
10,132.532000,24.757000,99.489000,10.215000,0.000000,173.900097,8.823974,4.013629
11,132.050000,24.248000,99.525000,10.035000,0.000000,171.998290,9.801458,4.058008
12,131.134000,23.491000,99.554000,9.765000,0.000000,167.762789,10.778761,4.160460
13,130.846000,22.962000,99.540000,9.599000,0.000000,166.897189,11.659483,4.182038
14,129.670000,22.234000,99.533000,9.358000,0.000000,164.124888,12.656600,4.252679
15,129.049000,21.826000,99.394000,9.218000,0.000000,164.146425,13.407919,4.252121
16,129.034000,21.368000,99.562000,9.085000,0.000000,161.527457,14.382211,4.321064
17,128.470000,21.039000,99.509000,8.976000,0.000000,161.273369,15.228720,4.327871
18,127.992000,20.661000,99.472000,8.843000,0.000000,161.006846,16.024573,4.335036
19,127.567000,20.791000,99.493000,8.867000,0.000000,160.068804,17.032582,4.360440
20,127.351000,20.757000,99.496000,8.853000,0.000000,159.687940,17.853959,4.370840
21,127.180000,20.851000,99.458000,8.896000,0.000000,159.529910,18.655912,4.375170
22,127.215000,20.270000,99.575000,8.699000,0.000000,157.176969,19.656137,4.440666
23,125.659000,19.113000,99.505000,8.221000,0.000000,151.516873,20.948109,4.606552
24,125.554000,18.936000,99.575000,8.167000,0.000000,150.579797,21.695334,4.635220
25,130.207000,19.430000,99.510000,8.396000,0.000000,145.601257,22.485486,4.793711
26,125.454000,18.386000,99.572000,8.000000,0.000000,149.132974,23.414198,4.680188
27,124.734000,17.847000,99.512000,7.841000,0.000000,149.014447,24.291772,4.683911
28,125.006000,18.041000,99.483000,7.888000,0.000000,149.494522,25.207345,4.668870
29,124.942000,18.046000,99.492000,7.890000,0.000000,149.797541,25.909537,4.659425
30,124.845000,18.048000,99.545000,7.900000,0.000000,148.861778,26.757816,4.688715
31,125.130000,17.883000,99.559000,7.845000,0.000000,150.018139,27.311164,4.652573
32,124.832000,17.740000,99.470000,7.799000,0.000000,149.109781,28.192490,4.680916
