workers,running,idle,local_gc,global_gc,stalling,total
1,161106,0,26342,1456,0,188904
2,155402,20,24682,2399,175914,358417
3,276110,121,29207,2111,148107,455656
4,366685,110,33814,1719,126949,529277
5,483122,70,33177,2231,114373,632973
6,590648,55,35746,3056,112625,742130
7,704585,163,34519,3726,111606,854599
8,814749,93,35133,4654,101692,956321
9,926137,121,34926,5903,111410,1078497
10,1060608,160,37236,7525,104185,1209714
11,1194015,157,37735,9493,113980,1355380
12,1295406,159,38066,11136,105282,1450049
13,1401093,206,40033,13904,100525,1555761
14,1453457,344,42314,17686,97453,1611254
15,1627267,360,43872,21916,98604,1792019
16,1651981,450,46330,25662,92158,1816581
17,1786906,404,50803,27653,74618,1940384
18,1714497,532,51518,31993,85579,1884119
19,1558235,542,53592,27846,81460,1721675
20,1567727,493,55397,29144,71211,1723972
21,1613753,1471,59168,33155,67082,1774629
22,1653015,646,61252,36494,69188,1820595
23,1636351,2228,63132,34802,68921,1805434
24,1660295,1071,66692,36184,70368,1834610
