# coins
locals,globals,globloc_ratio,applications,stalls,doubles,postponed,workers,mem
1631026683,0,0.000000,681885889,0,0,0,1,16384
1632011329,176540,0.000108,682296065,4,0,0,2,24576
1632109360,188742,0.000116,682340406,268,1104,437,3,16384
1632262700,211231,0.000129,682408397,606,1811,1353,4,14336
1635064448,217752,0.000133,683572540,508,1625,1630,5,10240
1645815385,261431,0.000159,688054370,619,2084,2412,6,12288
1632349567,221379,0.000136,682442172,498,1206,2178,7,14336
1632307060,221603,0.000136,682425978,417,1066,2195,8,16384
1632308212,225104,0.000138,682423323,390,1113,2316,9,18432
1646290638,237838,0.000144,688264603,339,1244,2093,10,21504
1669941126,231970,0.000139,698146058,340,625,2218,11,22528
1632429507,221780,0.000136,682478629,271,510,2417,12,24576
1635200441,226740,0.000139,683627416,214,476,2337,13,26624
1633986950,225430,0.000138,683129986,271,878,2228,14,28672
1632477409,220934,0.000135,682499237,155,636,2236,15,30720
1632304653,219057,0.000134,682426927,238,448,2329,16,32768
1703272335,221427,0.000130,712099275,227,392,2404,17,34816
1633245222,219885,0.000135,682819765,146,772,2300,18,36864
1633215536,222416,0.000136,682807054,84,589,2242,19,38912
1632300204,220836,0.000135,682422522,122,587,2228,20,40960
1655933635,230506,0.000139,692303440,65,1787,2392,21,43008
1636785450,225977,0.000138,684300378,74,1360,2310,22,45056
1637224884,231448,0.000141,684478556,140,613,2156,23,47104
1632800490,222319,0.000136,682633491,159,621,2033,24,49152
