cores,load,cycles,instructions,exec time,speedup,instr per cycle,norm speedup
1,0.998,194184839463,281092706791,69.946283195,1,1.447552,1
2,1.997,196562676412,282039053183,35.400581366,1.975851,1.434856,1.993335
3,2.994,199954910278,287267051334,24.075372760,2.905304,1.436659,2.927333
4,3.992,196459731004,282259253334,17.755185354,3.939485,1.436728,3.969164
5,4.990,196833002571,282597604010,14.628400757,4.781540,1.435723,4.820937
6,5.986,198162806277,284446052630,12.504075969,5.593879,1.435416,5.641174
7,6.982,198871768457,284867549119,10.794220737,6.479975,1.432418,6.548439
8,7.980,200404229900,286470141946,9.537072220,7.334146,1.429462,7.426965
9,8.976,203165762008,289461693148,8.804216250,7.944635,1.424756,8.071748
10,9.972,205066033685,293320523648,8.144028834,8.588659,1.430371,8.691823
11,10.947,206989610219,293030274962,7.512027059,9.311240,1.415676,9.520896
12,11.957,217726003033,297778810257,7.223875872,9.682653,1.367677,10.248142
13,12.958,228320786220,301350260297,7.007391111,9.981787,1.319855,10.947537
14,13.950,248983066694,306114870284,7.101725236,9.849196,1.229461,11.596326
15,14.923,265203751535,306232540026,7.072274963,9.890210,1.154707,12.398470
16,15.897,287727707824,312323631188,7.198528924,9.716747,1.085483,12.957821
17,16.862,305393070567,313773259560,7.200757559,9.713740,1.027441,13.685604
18,17.814,319281957402,315846835903,7.139136563,9.797583,0.989241,14.336761
19,18.802,347560445904,327471976880,7.363811576,9.498652,0.942202,14.593264
20,19.694,364882186469,327740028756,7.380289249,9.477445,0.898208,15.273856
21,20.768,383718052477,332316993294,7.363490863,9.499066,0.866045,15.877233
22,21.755,407653222491,338958927860,7.468868296,9.365044,0.831488,16.303765
23,22.588,430540947428,343363693619,7.598161197,9.205686,0.797517,16.709001
24,23.049,494814426142,377623211123,8.558520158,8.172708,0.763161,15.501863
