cores,load,cycles,instructions,exec time,speedup,instr per cycle,norm speedup
1,0.998,256155227001,421919669590,92.408031413,1,1.647125,1
2,0.998,241288130082,424510238690,87.030756106,1.061786,1.759350,0.994057
3,2.000,326775262369,426646501273,58.830781403,1.570743,1.305627,1.981585
4,3.000,285672317514,428276121291,34.393788576,2.686765,1.499187,2.951893
5,3.997,323806757317,429823931175,29.926392843,3.087844,1.327409,3.831574
6,4.996,332703799335,429504622411,24.742463798,3.734795,1.290952,4.765223
7,5.998,306408590942,429266668369,19.339688978,4.778155,1.400962,5.617726
8,6.990,306247733756,429078939215,16.633109554,5.555668,1.401084,6.531283
9,7.985,301144088250,427827907336,14.696092462,6.287932,1.420675,7.290203
10,8.979,296584891953,429506123285,12.878701236,7.175260,1.448173,8.161009
11,9.974,312114468529,429638873430,12.432298658,7.432900,1.376543,8.893960
12,10.966,317258789804,426957975896,11.489848286,8.042581,1.345772,9.843522
13,11.952,296249797060,425414134629,9.869069886,9.363398,1.435998,10.740047
14,12.923,311910734540,425450522084,9.607600333,9.618222,1.364014,11.614556
15,13.930,328339580657,426927706821,9.397547413,9.833207,1.300263,12.456345
16,14.903,349946970334,426711781415,9.360427234,9.872202,1.219361,13.335466
17,15.897,392534326633,428086281389,9.853074364,9.378599,1.090570,14.164813
18,16.896,404573335166,427643909615,9.557632264,9.668507,1.057024,15.066102
19,17.854,415542197429,428984701822,9.297793712,9.938705,1.032349,15.857316
20,18.857,421391338780,428032099515,8.932026795,10.345696,1.015759,16.776274
21,19.748,430896971548,429253396149,8.724901346,10.591298,0.996186,17.511988
22,20.721,440198731483,429332117658,8.499907586,10.871651,0.975314,18.360203
23,21.715,453833757022,429394795678,8.367858945,11.043211,0.946150,19.224805
24,22.447,467228910210,429731089542,8.340378789,11.079596,0.919744,19.841908
