# parfib
workers,mem read bw,mem write bw,mem read time,mem write time,mem spare,exec time,util,speedup
1,13.713000,2.239000,42.203000,1.167000,56.630000,411.128624,0.976322,1.000000
2,76.513000,9.360000,79.434000,3.511000,17.055000,298.356853,1.588554,1.377976
3,102.727000,19.744000,87.970000,6.838000,5.192000,254.362600,1.978986,1.616309
4,104.822000,24.757000,93.376000,9.290000,0.000000,168.748055,2.983922,2.436346
5,129.939000,23.107000,97.607000,8.653000,0.000000,133.144322,3.941715,3.087842
6,126.394000,26.498000,98.711000,10.530000,0.000000,114.587840,4.943605,3.587891
7,130.958000,26.457000,99.225000,10.716000,0.000000,107.135076,5.873119,3.837479
8,130.854000,25.883000,99.366000,10.702000,0.000000,103.942950,6.887442,3.955330
9,130.424000,25.440000,99.452000,10.603000,0.000000,102.388825,7.914653,4.015366
10,131.224000,25.392000,99.485000,10.592000,0.000000,102.795608,8.902287,3.999477
11,130.786000,25.037000,99.574000,10.459000,0.000000,101.322491,9.864710,4.057625
12,129.890000,24.237000,99.564000,10.175000,0.000000,99.269263,10.835580,4.141550
13,128.671000,23.472000,99.451000,9.895000,0.000000,97.614387,11.828881,4.211763
14,128.014000,23.023000,99.452000,9.739000,0.000000,96.848886,12.717999,4.245053
15,127.396000,22.409000,99.406000,9.534000,0.000000,95.841290,13.635198,4.289682
16,127.269000,22.061000,99.517000,9.427000,0.000000,95.010203,14.559436,4.327205
17,126.062000,21.687000,99.521000,9.291000,0.000000,93.509870,15.465758,4.396633
18,125.848000,21.322000,99.577000,9.178000,0.000000,92.942064,16.329904,4.423494
19,124.814000,21.465000,99.308000,9.195000,0.000000,93.523701,17.067331,4.395983
20,125.655000,21.407000,99.543000,9.206000,0.000000,92.994677,17.962684,4.420991
21,124.960000,21.342000,99.552000,9.167000,0.000000,92.302453,19.025637,4.454146
22,125.209000,21.318000,99.511000,9.149000,0.000000,92.682919,19.704807,4.435862
23,121.630000,19.146000,99.474000,8.472000,0.000000,88.584658,20.613818,4.641082
24,121.072000,18.364000,99.430000,8.234000,0.000000,87.837779,21.350437,4.680544
25,120.785000,17.828000,99.233000,8.056000,0.000000,87.898990,22.191597,4.677285
26,121.267000,17.847000,99.569000,8.081000,0.000000,86.981945,23.533700,4.726597
27,120.753000,17.868000,99.249000,8.061000,0.000000,87.587871,24.092240,4.693899
28,120.744000,17.583000,99.367000,7.990000,0.000000,86.672308,25.217155,4.743483
29,120.714000,17.744000,99.492000,8.040000,0.000000,86.381974,26.144135,4.759426
30,120.483000,17.496000,99.139000,7.914000,0.000000,87.409801,26.481504,4.703461
31,121.129000,17.130000,99.433000,7.832000,0.000000,86.284023,27.461469,4.764829
32,120.657000,17.338000,99.127000,7.865000,0.000000,87.320720,28.222328,4.708260
