workers,running,idle,local_gc,global_gc,stalling,total
1,115082,0,21368,1013,0,137463
2,114474,86,20391,1655,128200,264806
3,218599,35,21135,1760,118779,360308
4,319075,72,24119,1454,112912,457632
5,387162,509,27543,1231,102984,519429
6,477578,239,25744,1480,99469,604510
7,559731,145,24201,1697,96103,681877
8,651591,149,23551,2203,94734,772228
9,739216,175,24465,2975,94364,861195
10,838097,364,23790,3275,94685,960211
11,1026074,269,25504,4354,98547,1154748
12,1121587,430,24461,4942,100106,1251526
13,1211256,376,25131,5885,100655,1343303
14,1153201,497,25471,5915,86045,1271129
15,1173293,651,25956,6205,81939,1288044
16,1189187,922,26542,6385,77738,1300774
17,1202993,644,26322,6789,74784,1311532
18,1213280,852,27100,7044,69967,1318243
19,1233960,1011,27740,7813,67296,1337820
20,1248727,1186,28347,7922,63027,1349209
21,1267294,1099,28734,8250,60381,1365758
22,1272288,1749,29637,9300,59266,1372240
23,1286353,1407,30365,10064,56847,1385036
24,1301131,1393,31264,10145,55201,1399134
