# parfib
locals,globals,globloc_ratio,applications,stalls,doubles,postponed,workers,mem
1339876228,0,0.000000,508320661,0,0,0,1,16384
1340044998,83399,0.000062,508391821,22,0,0,2,16384
1340865467,247663,0.000185,508702737,7388,19,3858,3,12288
1340683215,211505,0.000158,508633321,5707,8,2768,4,8192
1340753715,224123,0.000167,508661434,5695,60,2690,5,9216
1340707094,209422,0.000156,508648998,4732,19,2782,6,6144
1340670885,202490,0.000151,508634975,5066,36,2618,7,7168
1340649684,198616,0.000148,508626567,3774,5,2516,8,8192
1340665084,201550,0.000150,508632567,5162,10,2579,9,9216
1340631738,195199,0.000146,508619625,3602,20,2423,10,10240
1340644495,197593,0.000147,508624434,4673,13,2526,11,11264
1340621452,193198,0.000144,508615617,3654,12,2412,12,12288
1341256913,198726,0.000148,508856909,4618,11,2515,13,13312
1340638714,196412,0.000147,508622316,4039,23,2503,14,14336
1340641752,197096,0.000147,508623456,3856,8,2494,15,15360
1341410073,194133,0.000145,508914814,3612,19,2419,16,16384
1341235832,194572,0.000145,508848859,3633,44,2419,17,17408
1340631845,195171,0.000146,508619666,3573,18,2445,18,18432
1340621769,193305,0.000144,508615703,3334,9,2399,19,19456
1341743179,192419,0.000143,509041227,3344,47,2401,20,20480
1347592933,195084,0.000145,511260312,3406,38,2421,21,21504
1341376516,194200,0.000145,508902133,3239,20,2430,22,22528
1340816240,196580,0.000147,508689720,3471,26,2470,23,23552
1342642720,197672,0.000147,509382692,3687,34,2506,24,24576
