cores,load,cycles,instructions,exec time,speedup,instr per cycle,norm speedup
1,0.998,607030087789,1104289755610,218.941602756,1,1.819168,1
2,1.996,726256469518,1206594690478,130.990968782,1.671425,1.661389,1.830157
3,2.994,747777107746,1195178284944,90.056004418,2.431172,1.598308,2.767120
4,3.993,772630814780,1194794345557,69.879376087,3.133136,1.546397,3.685793
5,4.990,839305222450,1224889984012,62.456188672,3.505523,1.459409,4.369668
6,5.988,881135053615,1257369383865,55.675715058,3.932443,1.426988,5.013199
7,6.986,947763436483,1295812450898,51.436617182,4.256532,1.367232,5.663521
8,7.984,978194944815,1288468537764,46.556410606,4.702717,1.317190,6.494911
9,8.981,1043881763519,1319356294143,45.336138688,4.829295,1.263894,6.950976
10,9.979,1096424033292,1371355959242,43.759800132,5.003259,1.250753,7.277030
11,10.977,1214602845922,1423678051990,44.065463899,4.968553,1.172135,7.711259
12,11.974,1349782500914,1511233709436,44.920257468,4.874006,1.119613,7.919377
13,12.971,1482587798017,1549478927930,45.571244798,4.804381,1.045118,8.362670
14,13.960,1591194608578,1542584526359,45.471018926,4.814970,0.969451,9.035262
15,14.927,1732007482066,1566426487798,46.310092250,4.727730,0.904399,9.509665
16,15.945,1967518713475,1658868236093,49.265938614,4.444077,0.843127,9.588735
17,16.946,2266306960005,1800978401957,53.424953823,4.098115,0.794675,9.381390
18,17.955,2291348869346,1724297564440,50.996608286,4.293258,0.752525,10.378601
19,18.948,2557541526369,1815113270523,53.951074238,4.058151,0.709710,10.402075
20,19.876,3272691083594,2202038397576,65.833966615,3.325663,0.672853,8.991481
21,20.906,2928366466512,1879224634200,56.022159894,3.908125,0.641731,11.078679
22,21.761,3200752960571,1992810469148,58.839020990,3.721027,0.622607,10.872310
23,22.485,3810870398595,2277266301801,67.815868731,3.228472,0.597571,9.828339
24,22.992,3760457209310,2187834565793,65.450103943,3.345168,0.581800,10.459645
