cores,load,cycles,instructions,exec time,speedup,instr per cycle,norm speedup
1,0.998,489957698344,782201629167,176.729686394,1,1.596468,1
2,0.999,471358318447,782553556401,169.846705764,1.040525,1.660209,1.000575
3,2.032,631121804786,787926318556,111.913104102,1.579169,1.248454,2.019372
4,3.056,602622059881,793808666828,71.272681726,2.479627,1.317258,3.005216
5,4.069,655380373320,799412490578,58.470288915,3.022555,1.219769,3.956006
6,5.110,668266266555,797982022546,48.734855223,3.626351,1.194108,4.848265
7,6.136,616483195966,797681843598,38.001970896,4.650540,1.293923,5.737927
8,7.148,617546901165,792611260662,32.806926769,5.386963,1.283484,6.700602
9,8.125,622639784093,792565412219,29.329811080,6.025599,1.272912,7.557221
10,9.143,626354597869,792436073946,26.831020458,6.586767,1.265156,8.311674
11,10.170,629525970527,789639673699,24.613032810,7.180330,1.254340,9.138801
12,11.199,672943358858,788690533545,23.926211821,7.386447,1.172001,10.061612
13,12.225,733295738555,787735752167,23.915770315,7.389672,1.074240,10.982061
14,13.288,811564090276,792577237521,24.377096883,7.249825,0.976605,11.851379
15,14.304,932931188282,786798762697,26.050641923,6.784082,0.843362,12.842133
16,15.274,993764527833,787480604786,26.018409217,6.792486,0.792422,13.684613
17,16.246,1096549743464,784281326256,27.006946272,6.543860,0.715226,14.606650
18,17.203,1159060514214,783713088088,26.967709939,6.553381,0.676162,15.473002
19,18.270,1324083763743,785491807384,29.047672906,6.084125,0.593234,16.373144
20,19.150,1380295177872,788796080098,28.912437714,6.112583,0.571469,17.076236
21,20.343,1584149495868,782411940501,31.248253998,5.655666,0.493900,18.281195
22,21.262,1735895634680,790130359304,32.786128836,5.390380,0.455172,18.906205
23,22.254,1949021453329,788114892322,35.206157161,5.019852,0.404364,19.818834
24,23.052,2124273518425,789445084183,37.060425214,4.768690,0.371631,20.485556
