# partak
workers,mem read bw,mem write bw,mem read time,mem write time,mem spare,exec time,util,speedup
1,21.075000,2.026000,46.531000,1.056000,52.413000,2087.160626,0.988974,1.000000
2,71.464000,19.967000,72.066000,6.915000,21.019000,2161.301970,1.022753,0.965696
3,91.917000,22.458000,86.378000,8.108000,5.514000,1123.848151,2.018956,1.857155
4,122.572000,20.456000,94.280000,7.352000,0.000000,813.807961,2.954351,2.564684
5,137.087000,22.115000,96.880000,8.161000,0.000000,653.017350,3.877007,3.196179
6,147.232000,22.001000,98.469000,8.482000,0.000000,553.203031,4.879442,3.772865
7,151.427000,21.652000,98.921000,8.563000,0.000000,512.343464,5.828539,4.073753
8,150.986000,21.284000,98.864000,8.592000,0.000000,502.321870,6.731678,4.155026
9,150.534000,21.130000,99.133000,8.657000,0.000000,495.355304,7.666562,4.213462
10,151.275000,21.438000,99.281000,8.816000,0.000000,493.554182,8.607906,4.228838
11,136.700000,22.025000,98.744000,9.093000,0.000000,473.203810,9.293173,4.410701
12,134.848000,21.207000,98.173000,8.808000,0.000000,468.108759,10.038184,4.458709
13,135.397000,20.627000,98.421000,8.650000,0.000000,462.863758,10.852684,4.509233
14,137.299000,19.370000,98.467000,8.211000,0.000000,455.912555,11.697822,4.577985
15,134.314000,18.951000,98.281000,8.083000,0.000000,451.261281,12.490478,4.625171
16,134.555000,18.588000,98.446000,7.986000,0.000000,446.623733,13.292166,4.673197
17,133.836000,18.070000,98.186000,7.801000,0.000000,451.077560,13.929788,4.627055
18,134.731000,17.743000,98.360000,7.709000,0.000000,445.849707,14.671195,4.681310
19,133.928000,18.040000,98.131000,7.818000,0.000000,449.474273,15.376426,4.643560
20,137.877000,19.481000,98.606000,8.199000,0.000000,452.673869,16.045128,4.610738
21,135.555000,19.714000,98.315000,8.263000,0.000000,457.490182,16.514166,4.562198
22,136.747000,19.825000,98.991000,8.354000,0.000000,447.579267,17.815231,4.663220
23,151.688000,17.122000,98.197000,7.436000,0.000000,458.085293,18.298234,4.556271
24,149.856000,16.546000,99.211000,7.254000,0.000000,464.346458,19.787322,4.494835
25,147.862000,16.118000,98.945000,7.104000,0.000000,466.691618,20.571227,4.472248
26,148.364000,15.804000,98.466000,6.944000,0.000000,476.322287,20.668321,4.381824
27,148.524000,15.679000,98.745000,6.934000,0.000000,473.667008,21.493298,4.406388
28,146.022000,17.183000,97.942000,7.240000,0.000000,505.352814,19.327752,4.130106
29,150.201000,-1.000000,98.339000,7.371000,0.000000,486.730378,21.809220,4.288125
30,142.632000,16.081000,96.760000,6.841000,0.000000,519.837403,20.254222,4.015026
31,149.131000,17.335000,98.552000,7.403000,0.000000,476.579020,23.702756,4.379464
32,147.492000,16.889000,98.028000,7.149000,0.000000,503.797895,21.468615,4.142853
