workers,running,idle,local_gc,global_gc,stalling,total
1,208562,0,39604,1927,0,250093
2,238668,49,42060,3133,200113,484023
3,420581,173,62760,6445,225620,715579
4,534950,168,50892,4929,171120,762059
5,694377,206,52999,4200,157354,909136
6,862006,246,51706,5520,151497,1070975
7,1014115,218,51426,6193,141792,1213744
8,1179104,337,50386,7871,137613,1375311
9,1350915,316,50616,9056,133065,1543968
10,1530884,909,50437,11537,130846,1724613
11,1710992,489,51794,13270,125911,1902456
12,2073433,633,57761,17632,138304,2287763
13,2233967,494,59675,20493,131793,2446422
14,2068620,508,55190,19519,111752,2255589
15,2106729,1338,56045,20938,100427,2285477
16,2153770,764,58544,22450,91896,2327424
17,2179382,928,60478,24288,83641,2348717
18,2219607,957,62297,26581,78730,2388172
19,2254253,870,66032,27685,73305,2422145
20,2274697,1412,65456,28832,69409,2439806
21,2320674,1311,69445,29955,63221,2484606
22,2348552,1502,70657,31105,61117,2512933
23,2411313,1573,75523,36932,57499,2582840
24,2412924,1527,73615,33096,51773,2572935
