# partak
locals,globals,globloc_ratio,applications,stalls,doubles,postponed,workers,mem
2505032620,0,0.000000,882180669,0,0,0,1,16384
2468716511,1039633,0.000421,867145609,14,0,0,2,16384
2471546545,1337529,0.000541,868264745,12507,1452,9569,3,20480
2471399746,1343175,0.000543,868211645,9657,537,9345,4,14336
2471261786,1334382,0.000540,868167909,7839,377,9369,5,10240
2472166469,1354620,0.000548,868492744,6654,249,10044,6,12288
2471735138,1340238,0.000542,868370715,5814,549,9943,7,14336
2471531992,1351199,0.000547,868304104,4934,455,10348,8,16384
2471594086,1350694,0.000546,868326782,4385,509,10399,9,18432
2476949840,1356545,0.000548,870208402,4043,523,10665,10,20480
2471632305,1353862,0.000548,868340938,3691,480,10753,11,22528
2481397862,1359129,0.000548,871771232,3433,456,10828,12,24576
2497120467,1364305,0.000546,877292754,3177,505,10998,13,25600
2486633810,1360229,0.000547,873560924,2829,134,10986,14,27648
2471584093,1354629,0.000548,868325365,2506,486,10987,15,29696
2485925732,1362529,0.000548,873364215,2320,553,11070,16,31744
2474906368,1355335,0.000548,869493592,2052,495,11068,17,33792
2477285831,1356722,0.000548,870329155,1888,594,11124,18,35840
2477978165,1362231,0.000550,870573789,1790,451,11191,19,37888
2472158188,1356449,0.000549,868529161,1681,535,11143,20,40960
2473333525,1356787,0.000549,868942320,1512,546,11179,21,41984
2490577643,1366881,0.000549,875000308,1438,598,11239,22,44032
2490980625,1363610,0.000547,875141250,1267,588,11235,23,47104
2475846722,1355370,0.000547,869825610,1075,704,11174,24,48128
