cores,load,cycles,instructions,exec time,speedup,instr per cycle,norm speedup
1,0.999,138157391290,246260200053,49.835448487,1,1.782461,1
2,1.977,162295695004,270010677020,29.778088105,1.673561,1.663696,1.793031
3,2.970,158774860761,262311978297,19.357097323,2.574531,1.652100,2.777678
4,3.966,161797323103,264665689453,14.888672100,3.347206,1.635785,3.647340
5,4.969,168395691460,270160744641,12.663753987,3.935282,1.604321,4.372248
6,5.959,170439483506,271853328829,10.828735297,4.602149,1.595014,5.142997
7,6.951,175367829095,278380887292,9.577198495,5.203552,1.587411,5.842927
8,7.934,182520775937,284507823364,8.838774803,5.638276,1.558770,6.447398
9,8.958,185213615423,285354090715,8.042343963,6.196632,1.540676,7.169100
10,9.946,187655830035,288855056116,7.494876512,6.649269,1.539281,7.699740
11,10.896,197544427646,291366936134,7.197529598,6.923966,1.474944,8.367573
12,11.951,197115107443,293696252933,6.572237382,7.582722,1.489973,9.071242
13,12.938,230004449134,315458411302,7.083561304,7.035366,1.371532,9.143257
14,13.927,248042429100,323101793557,7.084900706,7.034036,1.302607,9.625234
15,14.894,260098344421,325515642749,6.962026875,7.158181,1.251510,10.195030
16,15.891,278461731590,333545012520,6.986800193,7.132800,1.197813,10.614297
17,16.886,286832312936,329365170809,6.775598318,7.355136,1.148285,11.417243
18,17.909,302781906020,333836773676,6.746597942,7.386752,1.102565,11.941789
19,18.868,317294587572,333725711581,6.711800563,7.425049,1.051785,12.583238
20,19.684,350630400388,350124848997,7.109763407,7.009438,0.998558,12.512093
21,20.660,364766761213,353087398040,7.048428203,7.070434,0.967981,13.019648
22,21.540,385691698716,354483724795,7.149083271,6.970887,0.919086,13.519235
23,22.524,393693831574,352946294641,6.979385044,7.140378,0.896499,14.196827
24,22.918,420989703320,358521099471,7.336471182,6.792836,0.851615,14.217656
