cores,load,cycles,instructions,exec time,speedup,instr per cycle,norm speedup
1,0.998,64549636461,92164990644,23.295047834,1,1.427816,1
2,1.027,116039002537,100611883671,40.731521470,0.571917,0.867052,0.941803
3,1.987,87964250970,101104328440,15.948060375,1.460682,1.149380,1.814531
4,2.961,110800734023,103602977944,13.498120909,1.725799,0.935039,2.635317
5,3.935,107666810502,106971504989,9.908631785,2.350985,0.993542,3.378593
6,4.869,121918210895,106512723474,9.298219526,2.505323,0.873641,4.094521
7,5.825,124831448177,106133668665,8.108331886,2.872977,0.850216,4.824753
8,6.745,131504899004,105716459945,7.390772286,3.151910,0.803898,5.598160
9,7.744,140007388453,105510807655,6.887737363,3.382105,0.753609,6.407863
10,8.672,153054274319,105447052194,6.874762489,3.388488,0.688952,7.022457
11,9.629,177790121872,105322458833,7.330174560,3.177966,0.592398,7.659636
12,10.590,178274436288,105196794575,6.691368680,3.481358,0.590083,8.423787
13,11.518,195692416851,105764120622,6.759416836,3.446310,0.540461,9.104628
14,12.432,215224036413,105431475117,6.901898440,3.375165,0.489868,9.837567
15,13.378,243641251422,105290766104,7.266092375,3.205994,0.432155,10.592425
16,14.358,253819296775,105356014852,7.061254677,3.298996,0.415083,11.347997
17,15.226,262004599599,105454906310,6.880163065,3.385828,0.402493,12.011000
18,16.108,278219615780,105413305351,6.912635435,3.369923,0.378885,12.699437
19,16.976,293947840931,105388007398,6.932627799,3.360205,0.358526,13.381876
20,18.065,316769791775,105219952810,7.025032487,3.316006,0.332165,14.253880
21,18.937,333092541867,105095869983,7.052245766,3.303210,0.315516,14.948156
22,19.884,362862928153,105432861816,7.322481229,3.181305,0.290558,15.633065
23,20.681,365428027256,105486155074,7.090684910,3.285303,0.288665,16.250023
24,21.421,385030268016,105234929132,7.220052358,3.226438,0.273316,16.855064
