# prsa
workers,mem read bw,mem write bw,mem read time,mem write time,mem spare,exec time,util,speedup
1,19.144000,2.106000,44.666000,1.070000,54.265000,1564.504920,0.985843,1.000000
2,79.636000,12.851000,77.692000,4.351000,17.957000,1507.744779,1.301517,1.037646
3,97.917000,17.385000,86.476000,5.951000,7.573000,1072.514187,1.952301,1.458727
4,102.846000,22.328000,91.205000,8.188000,0.607000,782.209368,2.899460,2.000110
5,126.103000,19.255000,95.702000,7.068000,0.000000,616.933239,3.793514,2.535939
6,123.499000,23.498000,95.715000,8.979000,0.000000,542.241904,4.603327,2.885253
7,128.220000,23.707000,96.544000,9.176000,0.000000,506.888159,5.464631,3.086489
8,131.360000,23.541000,97.317000,9.298000,0.000000,475.909826,6.487115,3.287398
9,131.428000,23.145000,97.364000,9.224000,0.000000,467.992994,7.386425,3.343009
10,132.242000,23.081000,97.705000,9.238000,0.000000,466.840309,8.199112,3.351264
11,132.594000,22.634000,97.897000,9.113000,0.000000,453.612194,9.104738,3.448992
12,131.052000,21.961000,97.679000,8.873000,0.000000,453.876676,9.874746,3.446982
13,131.278000,21.436000,97.755000,8.706000,0.000000,447.694179,10.636363,3.494584
14,131.287000,21.103000,97.956000,8.608000,0.000000,433.094562,11.444561,3.612386
15,130.651000,20.483000,97.944000,8.416000,0.000000,427.713545,12.557610,3.657833
16,130.907000,20.017000,98.167000,8.265000,0.000000,419.594683,13.226926,3.728610
17,130.911000,19.999000,98.359000,8.267000,0.000000,418.722043,13.847372,3.736381
18,130.852000,19.729000,98.324000,8.184000,0.000000,411.501119,14.609542,3.801946
19,127.867000,19.682000,97.800000,8.120000,0.000000,426.375887,15.426982,3.669309
20,129.302000,19.478000,98.405000,8.093000,0.000000,411.829638,16.796625,3.798913
21,129.535000,19.254000,98.358000,8.014000,0.000000,407.306554,17.039203,3.841099
22,129.174000,19.051000,98.438000,7.957000,0.000000,407.773771,17.735170,3.836698
23,128.918000,19.072000,98.357000,7.963000,0.000000,408.178085,18.155480,3.832898
24,133.569000,19.851000,98.246000,8.287000,0.000000,394.067641,18.282549,3.970143
25,128.910000,18.903000,98.379000,7.911000,0.000000,412.227787,19.314499,3.795244
26,127.817000,18.720000,98.096000,7.837000,0.000000,407.615363,20.217062,3.838189
27,124.670000,15.579000,98.158000,6.982000,0.000000,399.022731,21.050949,3.920842
28,121.680000,15.314000,97.534000,6.847000,0.000000,405.677555,21.885591,3.856523
29,123.476000,14.994000,98.084000,6.811000,0.000000,390.393688,23.756114,4.007506
30,124.300000,14.860000,98.387000,6.780000,0.000000,383.609154,24.304832,4.078383
31,128.005000,14.838000,98.497000,6.597000,0.000000,387.369325,24.504124,4.038794
32,130.496000,14.899000,98.559000,6.609000,0.000000,389.441505,24.742296,4.017304
