workers,running,idle,local_gc,global_gc,stalling,total
1,27847,0,5844,275,0,33966
2,35873,730,12591,6328,41560,97082
3,48781,2078,10538,5697,27261,94355
4,61238,3886,12635,6269,22824,106852
5,79143,6067,16042,5862,22311,129425
6,96030,2523,15668,15697,20599,150517
7,116791,5726,15144,13067,20378,171106
8,132652,10127,15452,13149,19420,190800
9,162943,10822,15787,13093,20292,222937
10,184061,17339,16065,9765,20066,247296
11,188494,11933,17245,17331,18845,253848
12,210281,9592,17638,29514,18417,285442
13,228170,9898,18127,28756,18083,303034
14,234102,23219,18847,22093,17057,315318
15,246093,20520,19371,27619,16692,330295
16,247224,22365,19129,26294,15587,330599
17,260069,13052,21695,38006,15234,348056
18,275787,11305,21757,41205,15277,365331
19,265677,29299,22045,30487,13399,360907
20,264633,28986,21440,27096,12789,354944
21,269002,23596,21703,37010,12407,363718
22,272165,34072,21460,32673,11798,372168
23,278398,31619,22932,37690,11490,382129
24,290881,35253,23500,35134,11215,395983
