# prsa
locals,globals,globloc_ratio,applications,stalls,doubles,postponed,workers,mem
258819151,5,0.000000,106879850,0,0,0,1,16384
268693789,1342317,0.004996,111150300,138,0,0,2,57344
268693789,1342317,0.004996,111150300,126,0,0,3,49152
268693789,1342317,0.004996,111150300,114,0,0,4,47104
268693789,1342317,0.004996,111150300,112,0,0,5,44032
268693789,1342317,0.004996,111150300,93,0,0,6,46080
268693789,1342317,0.004996,111150300,118,0,0,7,47104
268693789,1342317,0.004996,111150300,92,0,0,8,48128
268693789,1342317,0.004996,111150300,103,0,0,9,52224
268693789,1342317,0.004996,111150300,81,0,0,10,52224
268693789,1342317,0.004996,111150300,89,0,0,11,55296
268693789,1342317,0.004996,111150300,89,0,0,12,54272
268693987,1342317,0.004996,111150410,85,10,0,13,52224
268693861,1342317,0.004996,111150340,89,4,0,14,58368
268693789,1342317,0.004996,111150300,66,0,0,15,60416
268694041,1342317,0.004996,111150440,80,14,0,16,65536
268693789,1342317,0.004996,111150300,62,0,0,17,67584
268693789,1342317,0.004996,111150300,79,0,0,18,71680
268693969,1342317,0.004996,111150400,69,10,0,19,74752
268693789,1342317,0.004996,111150300,67,0,0,20,69632
268693789,1342317,0.004996,111150300,72,0,0,21,67584
268694401,1342317,0.004996,111150640,80,34,0,22,69632
268693789,1342317,0.004996,111150300,65,0,0,23,71680
268693879,1342317,0.004996,111150350,57,5,0,24,77824
