cores,load,cycles,instructions,exec time,speedup,instr per cycle,norm speedup
1,0.655,323238111781,552156496310,177.433248492,1,1.708204,1
2,1.997,330787410721,555702803062,59.605107805,2.976813,1.679939,3.026896
3,2.993,340230740687,564385383271,40.975249013,4.330254,1.658831,4.459137
4,3.989,348887848796,572504125609,31.584555259,5.617722,1.640940,5.847996
5,4.984,356433795400,579058080756,26.533934187,6.687031,1.624588,7.031205
6,5.973,362132767973,584582778044,22.910052171,7.744777,1.614277,8.195404
7,6.966,373292738012,596167089935,20.300452971,8.740359,1.597050,9.348683
8,7.922,378330297641,598974591340,18.132022595,9.785629,1.583205,10.558230
9,8.909,388385290114,610545138262,16.976148306,10.451914,1.572009,11.357440
10,9.897,389783496805,610028552853,15.642261180,11.343197,1.565045,12.380791
11,10.881,401245261869,622333815555,14.662532429,12.101133,1.551006,13.327606
12,11.850,412487564606,628153853931,13.845125259,12.815576,1.522843,14.375487
13,12.862,447172134671,640482637884,13.834949416,12.825002,1.432296,15.295526
14,13.851,464041455899,638120609231,13.336935585,13.303899,1.375137,16.526184
15,14.840,497373208383,652992134948,13.343676503,13.297179,1.312882,17.301094
16,15.786,541300723344,673987575688,13.657680272,12.991463,1.245126,17.823148
17,16.744,558133897391,670415813801,13.281765990,13.359161,1.201174,18.998222
18,17.666,594347613302,681566012021,13.407694020,13.233689,1.146746,19.713019
19,18.557,630887115154,697203968697,13.551659232,13.093101,1.105117,20.238297
20,19.479,659148275151,707334481720,13.500571089,13.142648,1.073104,20.920920
21,20.434,673618770168,701548807178,13.151008500,13.491988,1.041463,22.129513
22,21.407,701383669359,714711521505,13.087847526,13.557099,1.019002,22.726433
23,22.246,749447629140,732909960071,13.445394883,13.196581,0.977934,23.051104
24,22.500,898717069670,856288485444,15.951907346,11.123011,0.952790,19.941825
