cores,load,cycles,instructions,exec time,speedup,instr per cycle,norm speedup
1,0.998,431579335210,508564437516,155.700755956,1,1.178380,1
2,1.919,398604092192,484820717683,74.795776235,2.081678,1.216296,2.016785
3,2.853,346964219764,494289580967,43.860115403,3.549939,1.424613,2.936362
4,3.740,352407069196,499718826538,34.044747226,4.573415,1.418016,3.800536
5,4.662,381794001791,510963445670,30.297131641,5.139125,1.338322,4.524950
6,5.663,350235524266,506918393332,23.293276458,6.684365,1.447364,5.442114
7,6.614,341989104147,504177796563,19.556458453,7.961603,1.474251,6.363769
8,7.504,350293962340,502195952281,17.732270399,8.780644,1.433641,7.217240
9,8.436,355321165488,500049416648,16.291341264,9.557271,1.407317,8.002531
10,9.413,369536944879,499506610218,15.476648017,10.060367,1.351710,8.770327
11,10.383,383089801204,497509163021,14.638836356,10.636143,1.298675,9.650927
12,11.339,398136531035,498381242379,13.958040792,11.154915,1.251785,10.500789
13,12.346,402979805488,493426309705,12.998563072,11.978305,1.224444,11.527674
14,13.143,447274002110,497181181138,13.556153740,11.485614,1.111581,12.175829
15,14.073,497443611544,496726962337,14.099910559,11.042677,0.998559,13.031243
16,15.001,527665259775,496324595196,14.041037003,11.088978,0.940605,13.892154
17,16.045,590487863789,492342506087,14.701091644,10.591102,0.833789,14.968219
18,16.985,628644058637,492701937159,14.800171996,10.520199,0.783753,15.817209
19,17.792,713798634355,496343029501,16.061827504,9.693838,0.695354,16.427629
20,18.782,744625686302,491581481459,15.879694389,9.805022,0.660173,17.501547
21,19.819,843097712233,499961038024,17.051642945,9.131129,0.593005,18.144775
22,20.786,943158520613,500185367492,18.201974743,8.554058,0.530330,19.006899
23,21.672,1023965958084,500456758142,18.972120004,8.206819,0.488744,19.786964
24,22.570,1135245631840,498878980130,20.216811704,7.701549,0.439446,20.651806
