# nqueens
workers,mem read bw,mem write bw,mem read time,mem write time,mem spare,exec time,util,speedup
1,17.661000,2.281000,44.483000,1.138000,54.379000,280.138717,0.967960,1.000000
2,80.206000,8.386000,81.244000,3.284000,15.473000,183.400713,1.697551,1.527468
3,94.217000,22.353000,90.098000,7.987000,1.914000,121.590245,2.640590,2.303957
4,120.227000,14.389000,95.913000,5.817000,0.000000,94.198303,3.501942,2.973925
5,133.497000,15.268000,97.958000,6.357000,0.000000,78.249580,4.378771,3.580067
6,143.429000,16.904000,98.726000,7.065000,0.000000,71.161100,5.167261,3.936683
7,147.674000,16.589000,98.932000,7.129000,0.000000,66.311966,6.144743,4.224558
8,149.375000,17.718000,99.297000,7.624000,0.000000,65.675809,6.945251,4.265478
9,149.644000,18.485000,99.340000,7.935000,0.000000,65.676303,7.803484,4.265446
10,147.040000,17.564000,98.772000,7.697000,0.000000,66.291700,8.674072,4.225849
11,135.721000,19.627000,99.090000,8.472000,0.000000,61.926480,9.691848,4.523731
12,134.929000,19.784000,98.634000,8.440000,0.000000,62.830436,10.216673,4.458647
13,136.429000,19.369000,98.473000,8.263000,0.000000,63.130265,10.990798,4.437471
14,137.423000,21.109000,98.651000,8.719000,0.000000,63.482242,11.524719,4.412867
15,137.339000,19.668000,98.052000,8.233000,0.000000,64.155996,11.961735,4.366524
16,138.753000,20.530000,99.063000,8.545000,0.000000,62.037486,12.949203,4.515636
17,139.536000,20.650000,98.743000,8.516000,0.000000,62.630195,13.636106,4.472902
18,144.925000,21.477000,99.132000,8.841000,0.000000,59.797764,14.449320,4.684769
19,138.121000,19.616000,98.781000,8.211000,0.000000,61.881808,15.003650,4.526996
20,139.221000,-1.000000,98.493000,8.325000,0.000000,63.257390,15.396873,4.428553
21,138.364000,19.670000,98.811000,8.241000,0.000000,62.372599,16.253099,4.491375
22,139.174000,20.578000,98.980000,8.480000,0.000000,62.046753,17.095222,4.514962
23,139.998000,19.349000,98.623000,8.093000,0.000000,63.023556,17.772751,4.444984
24,138.827000,18.200000,98.416000,7.754000,0.000000,62.479051,18.202197,4.483722
25,139.008000,19.017000,98.581000,7.984000,0.000000,62.528034,18.901266,4.480210
26,140.727000,-1.000000,98.887000,7.872000,0.000000,61.234477,20.664454,4.574853
27,136.000000,-1.000000,96.984000,7.553000,0.000000,64.695254,19.960228,4.330128
28,140.691000,18.593000,98.726000,7.848000,0.000000,62.065825,21.250116,4.513574
29,140.168000,17.958000,98.668000,7.684000,0.000000,61.596428,21.591414,4.547970
30,139.436000,17.705000,98.561000,7.605000,0.000000,61.769952,22.226681,4.535194
31,139.932000,-1.000000,98.725000,7.689000,0.000000,61.278943,23.165527,4.571533
32,139.237000,-1.000000,98.591000,7.572000,0.000000,61.273253,25.041905,4.571958
