workers,running,idle,local_gc,global_gc,stalling,total
1,146268,0,48054,3690,0,198012
2,226567,79,26920,3614,8661,265841
3,297766,333,28629,3174,10152,340054
4,415025,569,34252,3202,17603,470651
5,475728,923,40835,2805,29735,550026
6,564059,1863,37235,3397,34121,640675
7,644588,1724,36666,4391,37550,724919
8,739090,2966,35347,5154,38683,821240
9,839862,2389,35419,6504,44657,928831
10,943508,3498,35368,7748,49331,1039453
11,1057201,4553,35971,9550,42158,1149433
12,1148063,5687,36585,11503,47456,1249294
13,1192515,8119,38351,13282,47305,1299572
14,1231725,9900,39391,14137,52610,1347763
15,1257922,11554,40758,16744,47795,1374773
16,1371587,12785,41066,18363,48945,1492746
17,1390539,11482,42144,21003,56245,1521413
18,1415717,11420,42806,22430,58024,1550397
19,1441504,14301,44037,25430,51744,1577016
20,1463585,18371,46232,26717,50784,1605689
21,1490146,20294,47007,27141,46548,1631136
22,1510812,20753,48846,29708,40935,1651054
23,1546858,22897,49770,31118,42503,1693146
24,1549380,23310,52180,33739,41738,1700347
