raytrace;volrend;radiosity;fluidanimate
0.9890809836;0.8621491613;0.9848236309;0.9389717363
1.4325955734;2.4410469667;5.1950664137;19.135193133
1.3430188543;22.5708798883;0;99
0.9810287963;1.4536666875;1.4397755289;2.4477332377
1.4096244131;2.4848398657;5.8088670863;24.6007501293
1.0860234205;2.0820224681;1.9720708654;9.6825746699
0.7448580276;0.209796587;0.5328786619;0.2796693772
0.6676970634;0.5287282117;1.7398979158;1.9707602339
0.8658874193;1.1164763458;0.868249413;7.9436090226
0.5408189544;0.2867529704;0.5040053475;-0.8299450549
0.9118733581;0.6583650549;0.8273180982;0.1136300904
99;99;99;99
99;99;99;99
99;99;99;99
0.9960333925;0.6836234744;0.6844751366;0.4271422248
0.0198192722;0.1239177518;0.0758245794;0.0115684079
